ENSEMBL	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7
ENSMUSG00000000581	495	453	518	460	548	373	516
ENSMUSG00000000594	312	265	556	340	357	373	519
ENSMUSG00000000600	618	455	603	534	612	548	596
ENSMUSG00000000605	1680	1504	1753	1720	1861	1663	1853
ENSMUSG00000000606	3	2	0	5	0	7	4
ENSMUSG00000000617	0	0	0	0	0	0	0
ENSMUSG00000000627	3	0	0	3	2	1	10
ENSMUSG00000000628	11585	9651	7673	8760	10207	9357	9526
ENSMUSG00000000631	6331	5049	7756	6719	7313	5946	5986
ENSMUSG00000000632	12	8	7	8	15	13	5
ENSMUSG00000000673	7	9	13	5	4	7	25
ENSMUSG00000000682	21	11	35	14	18	16	212
ENSMUSG00000000686	16	17	45	3	11	15	14
ENSMUSG00000000690	6	15	13	15	14	13	24
ENSMUSG00000000693	64	50	92	83	76	92	541
ENSMUSG00000000701	0	0	0	0	0	0	0
ENSMUSG00000000706	0	0	0	1	0	0	0
ENSMUSG00000000708	2826	2064	2339	2482	2908	2587	2543
ENSMUSG00000000711	3626	3022	3689	3558	4112	3527	3511
ENSMUSG00000000724	0	0	1	1	1	1	0
ENSMUSG00000000730	0	1	1	3	0	0	6
ENSMUSG00000000731	1	0	0	2	0	1	0
ENSMUSG00000000732	78	44	83	47	47	58	65
ENSMUSG00000000738	2686	2073	2337	2295	2905	2369	2041
ENSMUSG00000000739	71	38	105	98	70	91	105
ENSMUSG00000000740	6125	4689	5627	5144	6508	5740	5556
ENSMUSG00000000743	1453	1114	1313	1073	1480	1220	1340
ENSMUSG00000000751	1819	1586	1694	1669	1777	1862	1517
ENSMUSG00000000753	743	714	1154	710	516	842	2169
ENSMUSG00000000759	313	274	328	266	293	309	384
ENSMUSG00000000766	0	0	0	0	0	0	0
ENSMUSG00000000776	382	302	328	330	370	321	390
ENSMUSG00000000782	17	5	23	17	16	9	35
ENSMUSG00000000787	5058	4575	5378	4492	5660	4365	4508
ENSMUSG00000000791	8	0	2	1	4	0	1
ENSMUSG00000000792	0	0	4	0	1	0	3
ENSMUSG00000000794	89	69	74	37	86	92	171
ENSMUSG00000000804	547	478	557	444	552	522	605
ENSMUSG00000000805	121	103	71	81	86	88	65
ENSMUSG00000000811	129	131	165	168	135	149	122
ENSMUSG00000000817	0	0	0	0	0	0	0
ENSMUSG00000000823	742	625	717	598	782	664	632
ENSMUSG00000000826	1431	1215	1607	1296	1514	1340	1494
ENSMUSG00000000827	891	763	935	790	898	864	920
ENSMUSG00000000838	256	225	535	157	204	216	265
ENSMUSG00000000861	0	0	0	0	0	1	4
ENSMUSG00000000869	6	7	5	12	5	2	9
ENSMUSG00000000876	362	300	336	289	335	317	324
ENSMUSG00000000881	52	50	63	56	52	55	102
ENSMUSG00000000884	59	41	54	32	50	40	50
ENSMUSG00000000889	0	0	0	1	2	0	0
ENSMUSG00000000901	57	44	92	56	55	84	175
ENSMUSG00000000902	245	213	391	267	224	283	395
ENSMUSG00000000903	5	0	2	1	3	3	1
ENSMUSG00000000915	372	261	571	435	480	308	332
ENSMUSG00000000916	175	180	195	168	174	210	166
ENSMUSG00000000934	303	279	271	296	348	278	274
ENSMUSG00000000938	289	250	427	392	390	373	352
ENSMUSG00000000942	92	90	111	74	107	110	81
ENSMUSG00000000948	60	72	61	36	66	44	66
ENSMUSG00000000957	175	130	483	282	163	316	1596
ENSMUSG00000000958	29	10	21	14	24	22	72
ENSMUSG00000000959	1117	980	1060	975	1153	1017	1043
ENSMUSG00000000976	370	364	404	399	388	333	342
ENSMUSG00000000982	0	0	0	0	0	2	32
ENSMUSG00000000983	0	0	0	0	0	0	1
ENSMUSG00000001014	19	6	16	18	8	8	2
ENSMUSG00000001016	552	476	540	572	564	550	604
ENSMUSG00000001017	1950	1746	2259	1933	2305	1860	1948
ENSMUSG00000001018	1939	1624	2102	1812	2042	1712	1897
ENSMUSG00000001020	120	116	94	129	76	121	862
ENSMUSG00000001021	0	2	0	1	0	0	2
ENSMUSG00000001023	0	4	1	0	1	1	0
ENSMUSG00000001025	483	391	617	497	451	571	1556
ENSMUSG00000001027	17077	13089	18043	16442	16795	16351	13161
ENSMUSG00000001029	91	54	72	77	84	76	73
ENSMUSG00000001034	70	73	102	77	71	91	153
ENSMUSG00000001036	826	676	947	742	803	779	767
ENSMUSG00000001039	23	24	42	43	29	44	47
ENSMUSG00000001052	592	550	725	527	651	555	722
ENSMUSG00000001053	90	56	71	47	52	56	92
ENSMUSG00000001054	247	271	301	214	232	237	287
ENSMUSG00000001056	268	259	272	238	287	206	302
ENSMUSG00000001062	406	352	480	380	451	391	460
ENSMUSG00000001065	169	202	170	187	184	192	200
ENSMUSG00000001076	0	0	0	0	0	0	0
ENSMUSG00000001082	40	32	50	36	44	37	134
ENSMUSG00000001089	406	304	456	363	403	416	525
ENSMUSG00000001095	0	0	0	0	0	0	0
ENSMUSG00000001098	416	327	498	357	377	416	686
ENSMUSG00000001100	2446	2001	2139	2125	2468	2112	2091
ENSMUSG00000001103	0	0	0	2	0	0	3
ENSMUSG00000001105	200	178	258	201	208	186	297
ENSMUSG00000001119	949	990	2053	1344	971	1330	5745
ENSMUSG00000001120	49	35	57	38	37	56	53
ENSMUSG00000001123	107	114	238	151	109	136	274
ENSMUSG00000001127	1733	1538	1617	1482	1814	1597	1555
ENSMUSG00000001128	81	63	157	77	62	77	361
ENSMUSG00000001131	2	3	3	9	2	3	875
ENSMUSG00000001134	262	205	256	202	332	219	254
ENSMUSG00000001138	421	355	366	327	391	404	347
ENSMUSG00000001143	542	497	581	513	553	522	589
ENSMUSG00000001150	810	625	828	742	813	744	857
ENSMUSG00000001151	2980	2384	2198	2196	2768	2530	2073
ENSMUSG00000001155	5	2	4	7	1	0	3
ENSMUSG00000001156	150	110	132	118	154	132	227
ENSMUSG00000001157	91	104	97	122	94	89	124
ENSMUSG00000001158	741	630	787	769	923	744	738
ENSMUSG00000001166	9	9	7	14	9	10	6
ENSMUSG00000001168	0	0	0	0	0	0	0
ENSMUSG00000001173	707	629	733	686	708	572	679
ENSMUSG00000001175	12499	9316	19007	15297	15965	12585	12742
ENSMUSG00000001211	3443	2550	3538	3418	3589	3409	3502
ENSMUSG00000001225	8	7	4	5	5	4	4
ENSMUSG00000001227	75	73	70	75	74	60	114
ENSMUSG00000001228	6	2	8	2	0	5	139
ENSMUSG00000001229	1480	1187	1453	1382	1503	1244	1283
ENSMUSG00000001240	238	262	283	185	228	202	282
ENSMUSG00000001247	21	12	17	14	12	11	36
ENSMUSG00000001248	777	765	559	637	711	640	837
ENSMUSG00000001249	148	149	106	99	112	138	136
ENSMUSG00000001260	6	7	1	8	5	2	2
ENSMUSG00000001270	83	59	178	104	76	94	249
ENSMUSG00000001280	631	522	636	557	617	719	861
ENSMUSG00000001281	33	30	52	28	15	35	72
ENSMUSG00000001285	189	207	195	187	213	184	175
ENSMUSG00000001288	194	193	300	277	289	292	301
ENSMUSG00000001289	1351	1190	1364	1171	1444	1212	1290
ENSMUSG00000001300	244	144	231	221	251	244	230
ENSMUSG00000001305	134	133	187	138	146	143	171
ENSMUSG00000001313	43	20	58	29	44	48	46
ENSMUSG00000001323	427	333	457	383	436	367	526
ENSMUSG00000001333	791	732	821	825	818	781	885
ENSMUSG00000001334	2040	1560	845	1392	1784	1409	1832
ENSMUSG00000001348	28	21	185	21	25	35	78
ENSMUSG00000001349	12	10	5	9	11	6	8
ENSMUSG00000001366	1180	917	1144	1077	1106	969	817
ENSMUSG00000001376	797	678	733	751	870	681	811
ENSMUSG00000001380	576	507	617	654	676	542	715
ENSMUSG00000001383	1071	790	1037	981	1135	994	991
ENSMUSG00000001403	107	59	171	89	86	153	261
ENSMUSG00000001415	1532	1343	1768	1609	1640	1549	1769
ENSMUSG00000001416	1287	1148	1650	1351	1451	1236	1747
ENSMUSG00000001418	308	351	497	350	388	350	460
ENSMUSG00000001419	6083	5318	5989	5145	6076	5334	5081
ENSMUSG00000001420	21	21	14	19	21	14	12
ENSMUSG00000001424	1166	999	1162	1034	1056	897	1172
ENSMUSG00000001435	188	173	602	212	130	260	678
ENSMUSG00000001436	100	116	164	106	128	113	119
ENSMUSG00000001440	2573	2141	2589	2355	2576	2445	3213
ENSMUSG00000001441	2214	1946	1842	1859	2089	1998	2092
ENSMUSG00000001444	11	12	21	13	15	11	9
ENSMUSG00000001445	724	652	733	647	717	622	685
ENSMUSG00000001467	82	82	128	93	84	82	193
ENSMUSG00000001472	4794	4016	5026	4244	4943	3923	4180
ENSMUSG00000001473	299	312	422	349	329	313	1390
ENSMUSG00000001482	1065	827	1070	978	1146	934	959
ENSMUSG00000001493	39	37	50	32	32	54	77
ENSMUSG00000001494	0	0	0	0	0	0	0
ENSMUSG00000001496	2	0	2	0	0	6	0
ENSMUSG00000001497	13	0	7	1	2	6	7
ENSMUSG00000001504	0	0	1	0	0	2	7
ENSMUSG00000001506	750	830	2354	1173	655	1279	34821
ENSMUSG00000001507	129	111	151	149	150	150	154
ENSMUSG00000001508	3919	3476	3966	3862	4027	3673	3289
ENSMUSG00000001510	0	0	0	0	0	0	0
ENSMUSG00000001517	8	9	4	7	8	4	105
ENSMUSG00000001518	268	315	367	294	329	345	248
ENSMUSG00000001520	63	51	53	57	63	60	43
ENSMUSG00000001521	220	192	246	208	183	216	248
ENSMUSG00000001524	246	233	272	258	265	259	278
ENSMUSG00000001525	714	604	901	558	671	599	2253
ENSMUSG00000001542	529	483	594	524	527	472	551
ENSMUSG00000001552	1573	1305	1948	1668	1767	1539	1899
ENSMUSG00000001555	76	92	127	116	92	81	749
ENSMUSG00000001558	5	8	0	3	4	6	10
ENSMUSG00000001566	0	0	0	0	0	0	0
ENSMUSG00000001569	717	549	583	564	699	580	584
ENSMUSG00000001576	945	708	1309	903	941	878	1075
ENSMUSG00000001583	4	1	3	1	2	11	7
ENSMUSG00000001588	4	5	11	4	2	8	20
ENSMUSG00000001604	6134	4700	5465	5272	6225	5635	4107
ENSMUSG00000001622	9	6	9	7	8	3	5
ENSMUSG00000001627	802	712	1180	829	905	891	934
ENSMUSG00000001630	373	313	380	366	368	353	381
ENSMUSG00000001632	429	409	437	366	411	404	445
ENSMUSG00000001642	3848	3528	4052	3643	4246	3569	3509
ENSMUSG00000001655	0	0	2	0	0	0	0
ENSMUSG00000001656	221	216	292	274	271	235	188
ENSMUSG00000001657	27	19	41	21	26	23	11
ENSMUSG00000001661	84	53	66	62	67	74	79
ENSMUSG00000001663	119	131	170	94	126	99	85
ENSMUSG00000001665	61	46	78	54	59	67	80
ENSMUSG00000001666	220	191	203	198	224	230	221
ENSMUSG00000001670	1	2	0	25	0	1	16
ENSMUSG00000001672	0	0	0	0	2	0	0
ENSMUSG00000001674	449	421	513	452	527	452	479
ENSMUSG00000001687	2310	1948	2469	2154	2805	2276	2111
ENSMUSG00000001700	263	259	321	312	300	267	365
ENSMUSG00000001707	189	176	208	156	221	140	194
ENSMUSG00000001729	1276	1006	1284	1133	1305	1169	1633
ENSMUSG00000001739	42	48	46	38	38	32	41
ENSMUSG00000001741	86	61	135	87	95	106	154
ENSMUSG00000001750	135	154	184	160	135	157	454
ENSMUSG00000001751	129	125	197	113	107	105	202
ENSMUSG00000001755	196	149	136	140	172	114	173
ENSMUSG00000001761	88	91	124	85	113	137	223
ENSMUSG00000001763	81	38	40	45	57	44	56
ENSMUSG00000001767	434	379	465	446	468	476	474
ENSMUSG00000001768	244	153	356	225	253	294	624
ENSMUSG00000001773	2	9	31	4	4	3	3
ENSMUSG00000001774	834	729	1093	811	944	808	989
ENSMUSG00000001783	891	776	924	894	933	870	988
ENSMUSG00000001785	630	582	559	547	685	581	582
ENSMUSG00000001786	213	236	217	235	257	267	212
ENSMUSG00000001794	3056	2629	3109	2722	3072	2675	3487
ENSMUSG00000001802	265	197	224	168	203	223	215
ENSMUSG00000001804	0	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0	0
ENSMUSG00000001819	0	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0	0
ENSMUSG00000001827	1	3	2	2	1	7	3
ENSMUSG00000001829	1864	1638	1603	1581	1758	1522	1708
ENSMUSG00000001833	1471	1469	1634	1262	1650	1203	1847
ENSMUSG00000001844	587	441	535	488	512	430	435
ENSMUSG00000001847	3862	3488	4206	3779	4368	3530	3857
ENSMUSG00000001855	519	470	537	439	521	501	480
ENSMUSG00000001864	57	57	87	61	59	58	147
ENSMUSG00000001865	41	53	86	30	22	43	73
ENSMUSG00000001870	334	375	496	336	329	398	668
ENSMUSG00000001891	15025	14809	13901	15477	17522	14570	15776
ENSMUSG00000001901	0	2	1	0	1	0	0
ENSMUSG00000001909	1122	898	965	986	1067	925	773
ENSMUSG00000001910	774	548	1045	722	766	762	967
ENSMUSG00000001911	7721	5941	8254	6921	8105	7029	6528
ENSMUSG00000001918	559	592	1772	338	415	529	558
ENSMUSG00000001924	3479	3166	3855	3712	3911	3390	3723
ENSMUSG00000001930	855	622	862	720	821	709	883
ENSMUSG00000001942	203	208	246	179	240	167	315
ENSMUSG00000001943	64	52	39	37	86	45	36
ENSMUSG00000001946	446	354	398	389	507	383	442
ENSMUSG00000001948	40	36	46	58	53	62	45
ENSMUSG00000001962	348	296	348	383	370	322	358
ENSMUSG00000001964	549	487	582	531	595	473	577
ENSMUSG00000001983	881	750	866	796	813	774	834
ENSMUSG00000001985	18	10	18	8	25	42	15
ENSMUSG00000001986	35	37	37	20	30	28	79
ENSMUSG00000001988	5	2	3	4	10	7	1
ENSMUSG00000001995	194	179	227	177	208	220	286
ENSMUSG00000001998	354	320	373	271	408	356	326
ENSMUSG00000001999	172	185	206	153	248	187	268
ENSMUSG00000002006	36	31	38	17	19	21	55
ENSMUSG00000002007	706	636	941	762	777	734	715
ENSMUSG00000002010	6708	5712	5241	5687	6595	5716	5820
ENSMUSG00000002012	130	123	203	149	149	132	83
ENSMUSG00000002014	742	648	728	633	697	630	790
ENSMUSG00000002015	632	583	804	615	681	569	771
ENSMUSG00000002017	863	792	886	741	955	810	899
ENSMUSG00000002020	14	8	38	4	13	10	391
ENSMUSG00000002028	1401	1178	1202	1173	1419	1505	1435
ENSMUSG00000002031	283	238	277	251	265	223	330
ENSMUSG00000002032	196	175	146	179	194	213	219
ENSMUSG00000002033	0	0	0	4	0	0	1
ENSMUSG00000002043	32	30	46	27	34	47	38
ENSMUSG00000002052	1733	1425	1982	1845	1841	1794	1770
ENSMUSG00000002055	49	71	72	79	88	69	151
ENSMUSG00000002057	0	0	0	0	0	0	2
ENSMUSG00000002058	77	64	148	82	87	54	122
ENSMUSG00000002059	60	44	134	57	46	66	116
ENSMUSG00000002064	708	651	830	693	791	674	721
ENSMUSG00000002068	4	1	5	7	3	4	29
ENSMUSG00000002076	2	4	3	1	12	2	8
ENSMUSG00000002083	22	16	34	23	28	28	45
ENSMUSG00000002100	0	0	1	0	0	0	0
ENSMUSG00000002102	4207	3357	3662	3740	4587	3968	3971
ENSMUSG00000002103	613	582	815	615	672	625	800
ENSMUSG00000002104	453	403	525	419	466	421	428
ENSMUSG00000002105	523	490	631	433	615	472	655
ENSMUSG00000002107	1763	1535	2183	1532	1832	1574	1578
ENSMUSG00000002108	305	251	366	285	332	240	261
ENSMUSG00000002109	99	80	108	122	92	85	101
ENSMUSG00000002111	15	21	52	33	10	34	218
ENSMUSG00000002129	439	350	468	422	378	422	530
ENSMUSG00000002147	517	478	606	513	531	507	801
ENSMUSG00000002190	0	0	2	0	0	0	0
ENSMUSG00000002204	7	4	18	9	5	16	51
ENSMUSG00000002205	356	328	434	401	421	372	429
ENSMUSG00000002210	264	267	390	280	306	297	288
ENSMUSG00000002221	283	282	238	257	315	239	263
ENSMUSG00000002222	6713	5160	6033	5874	7503	5887	5557
ENSMUSG00000002227	34	27	39	25	18	34	59
ENSMUSG00000002228	873	847	1181	1002	983	974	735
ENSMUSG00000002233	377	287	519	377	368	340	901
ENSMUSG00000002240	0	0	0	0	0	0	0
ENSMUSG00000002249	200	197	154	194	208	193	225
ENSMUSG00000002250	673	589	669	553	671	680	623
ENSMUSG00000002257	34	24	23	20	19	22	56
ENSMUSG00000002265	362	515	674	311	368	470	462
ENSMUSG00000002266	123	98	111	92	103	117	131
ENSMUSG00000002274	570	452	584	489	664	494	452
ENSMUSG00000002279	180	158	187	153	205	179	214
ENSMUSG00000002280	724	572	637	559	718	643	674
ENSMUSG00000002289	77	109	322	19	40	68	380
ENSMUSG00000002297	38	36	17	19	29	20	79
ENSMUSG00000002307	359	303	369	286	325	333	321
ENSMUSG00000002308	153	166	213	152	177	147	153
ENSMUSG00000002319	1129	1163	1397	1062	1263	1090	1154
ENSMUSG00000002320	403	340	384	320	356	358	659
ENSMUSG00000002324	1	5	0	1	1	0	1
ENSMUSG00000002325	125	128	155	90	118	119	215
ENSMUSG00000002326	44	38	24	27	26	34	75
ENSMUSG00000002329	361	269	417	394	348	351	461
ENSMUSG00000002332	564	555	600	514	615	558	575
ENSMUSG00000002341	3	5	29	2	6	1	4
ENSMUSG00000002342	1424	1254	1373	1236	1451	1300	1259
ENSMUSG00000002343	126	136	195	161	187	162	173
ENSMUSG00000002345	153	120	145	148	156	161	119
ENSMUSG00000002346	1318	1233	883	994	1020	1159	942
ENSMUSG00000002365	800	699	946	824	968	901	1046
ENSMUSG00000002372	948	872	1081	870	941	873	911
ENSMUSG00000002379	2079	1805	1642	1689	2116	1566	1794
ENSMUSG00000002384	1	0	0	3	2	1	0
ENSMUSG00000002393	506	400	454	344	497	417	428
ENSMUSG00000002395	1076	797	903	815	989	835	986
ENSMUSG00000002396	145	112	155	168	158	102	180
ENSMUSG00000002409	1363	1255	1117	1107	1290	1286	1060
ENSMUSG00000002413	315	259	332	289	288	310	398
ENSMUSG00000002416	2272	1795	1817	1871	2166	2012	2071
ENSMUSG00000002428	103	115	123	109	126	90	220
ENSMUSG00000002455	1124	962	1118	875	1167	1040	938
ENSMUSG00000002458	16	19	69	26	29	39	138
ENSMUSG00000002459	4	3	3	1	1	1	1
ENSMUSG00000002475	20	14	17	15	11	9	7
ENSMUSG00000002477	125	102	143	143	139	131	209
ENSMUSG00000002486	141	128	86	61	107	87	113
ENSMUSG00000002489	425	248	550	422	398	319	398
ENSMUSG00000002496	2408	1970	2487	2088	2419	2174	2042
ENSMUSG00000002500	9806	7667	8624	9009	10210	8758	7684
ENSMUSG00000002504	536	424	482	419	513	437	409
ENSMUSG00000002524	1015	869	1146	1020	1021	986	1055
ENSMUSG00000002546	2171	1747	2000	1876	2136	1883	1747
ENSMUSG00000002550	185	169	312	237	225	232	213
ENSMUSG00000002565	141	122	162	162	137	131	98
ENSMUSG00000002578	19	20	17	15	20	13	18
ENSMUSG00000002580	300	278	291	329	315	283	323
ENSMUSG00000002588	11	3	21	12	17	18	20
ENSMUSG00000002602	907	828	1278	963	851	1008	1571
ENSMUSG00000002603	89	75	146	77	90	103	338
ENSMUSG00000002608	939	841	974	857	912	866	904
ENSMUSG00000002617	18	29	23	18	24	10	41
ENSMUSG00000002625	971	985	821	850	1020	1000	843
ENSMUSG00000002633	0	0	0	0	0	0	0
ENSMUSG00000002635	267	178	231	221	281	258	232
ENSMUSG00000002658	387	336	443	317	413	355	438
ENSMUSG00000002660	466	399	461	449	466	425	454
ENSMUSG00000002661	231	172	190	204	220	228	187
ENSMUSG00000002664	0	0	2	0	3	0	2
ENSMUSG00000002668	21	13	36	21	15	17	89
ENSMUSG00000002679	128	148	130	128	124	125	151
ENSMUSG00000002688	60	56	100	65	76	84	95
ENSMUSG00000002699	12	7	33	7	13	12	124
ENSMUSG00000002718	1947	1658	2019	1627	2058	1656	2032
ENSMUSG00000002728	753	637	850	877	827	675	793
ENSMUSG00000002731	62	70	57	51	54	46	117
ENSMUSG00000002732	55	60	70	52	43	66	190
ENSMUSG00000002733	260	222	263	248	265	180	280
ENSMUSG00000002741	1384	972	1355	1196	1388	1129	1608
ENSMUSG00000002748	2169	1726	1792	1675	2046	1961	1936
ENSMUSG00000002763	513	446	498	468	628	605	537
ENSMUSG00000002767	1177	908	1104	1001	1280	953	995
ENSMUSG00000002768	395	344	411	306	354	343	409
ENSMUSG00000002769	9	10	6	15	12	16	16
ENSMUSG00000002771	9	3	7	8	4	6	25
ENSMUSG00000002778	1032	862	1059	1025	1135	1049	1199
ENSMUSG00000002781	1311	1153	1241	1090	1365	1128	1007
ENSMUSG00000002791	0	0	0	0	0	0	0
ENSMUSG00000002797	169	144	167	129	159	134	117
ENSMUSG00000002799	813	628	829	600	758	777	673
ENSMUSG00000002803	362	275	361	297	373	332	388
ENSMUSG00000002804	640	444	439	497	673	497	673
ENSMUSG00000002808	2597	2407	2524	2388	2879	2432	2434
ENSMUSG00000002812	2453	2182	2393	2308	2410	2217	2438
ENSMUSG00000002814	143	105	145	123	131	154	148
ENSMUSG00000002820	1188	804	1092	997	1198	1050	950
ENSMUSG00000002825	63	87	95	86	83	98	83
ENSMUSG00000002831	7976	9752	10997	4960	6030	7287	5000
ENSMUSG00000002833	870	623	729	693	875	731	691
ENSMUSG00000002835	81	48	87	54	81	40	108
ENSMUSG00000002844	573	532	666	614	617	539	720
ENSMUSG00000002845	199	178	194	172	184	166	282
ENSMUSG00000002846	640	544	574	623	763	573	621
ENSMUSG00000002847	158	142	254	130	124	160	115
ENSMUSG00000002870	230	191	294	222	223	203	337
ENSMUSG00000002871	329	273	373	338	316	302	390
ENSMUSG00000002881	195	199	230	197	223	159	309
ENSMUSG00000002885	466	428	584	474	468	513	758
ENSMUSG00000002897	79	42	83	40	34	66	252
ENSMUSG00000002900	578	451	1237	650	685	726	1363
ENSMUSG00000002908	520	417	464	442	502	397	455
ENSMUSG00000002910	1572	2164	165	162	1167	265	203
ENSMUSG00000002930	0	0	0	0	0	0	0
ENSMUSG00000002944	7608	7198	6120	5874	6927	6800	7773
ENSMUSG00000002948	2336	1833	2242	1960	2265	1904	1858
ENSMUSG00000002949	1424	1082	996	1166	1328	1246	1161
ENSMUSG00000002957	1817	1604	1964	1625	1939	1604	2012
ENSMUSG00000002963	487	385	491	455	452	419	467
ENSMUSG00000002968	1542	1317	1839	1379	1661	1332	1333
ENSMUSG00000002980	574	440	612	519	650	506	615
ENSMUSG00000002981	1805	1477	1650	1566	1823	1584	1754
